id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,result
1,0,0,0,0,0,0,1,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0
3,1,1,1,1,1,1,0,1,0,1,1
4,0,1,0,1,1,1,1,1,0,1,1
5,0,0,0,0,0,0,0,0,1,0,0
6,1,0,1,0,1,1,1,0,0,0,1
7,0,1,0,0,1,1,1,0,1,0,1
8,0,0,0,0,1,0,0,0,1,1,0
9,1,1,0,1,1,1,1,1,1,1,1
10,1,1,0,1,1,1,1,1,0,1,1
11,1,0,1,0,1,1,0,1,0,1,1
12,1,0,1,1,1,1,1,1,1,1,1
13,0,0,0,0,0,0,0,0,0,0,1
14,1,1,1,1,1,1,1,1,1,1,1
15,1,0,0,1,0,1,1,1,0,1,1
16,0,0,0,0,0,0,0,0,0,1,0
17,1,1,1,1,1,1,1,1,1,0,1
18,1,0,0,0,0,0,1,0,0,1,1
19,0,0,0,0,0,0,0,0,0,0,0
20,1,0,1,1,0,1,0,1,1,0,1
21,1,1,0,1,1,1,1,1,1,1,0
22,1,0,0,0,0,0,0,0,0,0,0
23,1,1,1,1,0,1,0,1,1,1,0
24,0,1,0,1,1,0,0,1,1,0,1
25,0,1,1,1,1,1,1,1,1,1,1
26,1,0,0,0,1,1,1,1,1,1,1
27,1,1,0,1,0,1,1,0,0,0,0
28,1,1,0,1,1,1,1,1,1,1,1
29,1,1,0,1,1,0,0,0,1,1,0
30,1,0,1,1,1,1,1,1,1,1,1
31,1,1,1,0,0,1,1,1,1,1,0
32,1,0,1,1,1,0,0,0,1,0,0
33,1,0,0,0,0,1,0,0,1,0,0
34,1,1,1,1,1,1,0,1,1,0,0
35,1,0,0,0,0,0,1,0,0,0,0
36,0,1,1,0,0,0,1,0,0,0,0
37,1,0,0,0,1,1,0,0,0,0,1
38,1,0,0,0,1,1,0,1,0,0,1
39,0,0,0,0,0,0,0,0,0,0,1
40,1,1,0,0,1,1,1,0,1,1,1
41,0,0,0,0,1,0,1,1,0,0,0
42,1,0,0,1,1,1,0,0,1,0,0
43,1,0,1,1,1,0,0,1,1,1,1
44,0,1,1,1,1,0,1,0,0,1,0
45,0,0,0,1,1,0,0,0,1,1,0
46,1,1,1,1,1,1,1,1,1,1,1
47,1,0,0,1,0,0,0,0,1,0,1
48,1,1,1,1,0,0,0,1,1,1,0
49,1,1,1,1,1,1,1,1,1,1,1
50,0,0,0,1,0,0,0,0,0,1,0
51,1,1,1,1,1,1,1,1,1,1,1
52,1,1,1,0,1,1,1,1,1,1,1
53,1,1,0,1,0,0,1,1,1,1,1
54,1,1,1,1,0,1,0,1,1,1,0
55,0,1,0,1,1,1,1,1,1,1,1
56,1,1,0,0,0,1,0,1,1,1,1
57,0,0,0,0,0,0,0,0,0,0,0
58,1,1,1,1,1,1,1,1,1,1,1
59,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,1,0,1,0,1,0,1,0
61,1,1,1,1,1,1,1,1,1,1,1
62,1,0,1,1,0,0,1,1,0,0,1
63,1,1,1,1,1,1,1,1,1,1,0
64,1,1,0,1,0,1,1,1,0,0,0
65,0,0,0,1,1,0,1,1,1,0,0
66,0,0,0,0,0,0,0,0,0,1,0
67,1,1,1,1,1,1,0,1,0,1,1
68,1,1,1,1,0,1,1,1,0,0,1
69,0,1,0,0,1,0,0,0,0,1,0
70,1,0,1,1,1,0,1,0,0,0,0
